name,price
Palit GeForce GT 730 2GB DDR3 Graphics Card,"<span>6,000৳</span>"
MSI GT 710 2GD3H LP 2GB DDR3 Gaming Graphic Card,"<span>6,200৳</span>"
GIGABYTE GeForce GT 730 2GB DDR3 PCI EXPRESS Graphics Card,"<span class=""price-new"">7,050৳</span>"
Colorful GeForce GT730K 2GD3-V 2GB Graphics Card,"<span class=""price-new"">7,100৳</span>"
Asus Geforce Gt 730 2GB GDDR5 Graphics Card,"<span class=""price-new"">7,300৳</span>"
GIGABYTE GeForce GT 730 2GB GDDR5 PCI EXPRESS Graphics Card,"<span>8,000৳</span>"
MSI GeForce GT 730 Kepler DDR3 2GB OC Low Profile Graphics Card,"<span class=""price-new"">8,300৳</span>"
Palit GeForce GT 1030 2GB DDR4 Graphics Card,"<span>9,000৳</span>"
Colorful GT1030 2GB V5-V GDDR5 Graphics Card,"<span class=""price-new"">9,000৳</span>"
Colorful GeForce GT1030 V4-V 2GB Graphics Card,"<span>9,500৳</span>"
Gigabyte GT 1030 2GB OC Graphics card,"<span>9,600৳</span>"
MSI GeForce GT 1030 2GD4 LP OC 2GB Graphics Card,"<span class=""price-new"">9,400৳</span>"
ASUS GeForce GT 1030 2GB GDDR5 low Profile Graphics Card,"<span class=""price-new"">9,600৳</span>"
Gigabyte GeForce GT 1030 Low Profile 2GB DDR5 Graphics Card,"<span class=""price-new"">9,400৳</span>"
MSI GeForce GT 1030 AERO ITX 2GD4 OC DDR4 Graphics Card,"<span>10,000৳</span>"
Gigabyte GeForce GT 1030 Low Profile D4 2GB Graphics Card,"<span class=""price-new"">9,700৳</span>"
MSI GeForce GT 730 4GB DDR3 PCI Express 2.0 Graphics Card,"<span>9,900৳</span>"
AFOX Radeon RX 550 4GB GDDR5 Dual Fan Graphics Card,"<span>17,500৳</span>"
Colorful GeForce GTX1050Ti 4G-V 4GB GDDR5 Graphics Card,"<span class=""price-new"">22,500৳</span>"
Palit GeForce GTX 1050 Ti StormX 4GB GDDR5 Graphics Card,"<span>24,500৳</span>"
Gigabyte GeForce GTX 1050 Ti D5 4GB GDDR5 Graphics Card,"<span class=""price-new"">25,000৳</span>"
Asus Phoenix GeForce GTX 1050Ti 4GB GDDR5 Graphics Card,"<span class=""price-new"">26,500৳</span>"
MSI Radeon RX 6500 XT MECH 2X 4G OC GDDR6 Graphics Card,"<span>27,000৳</span>"
Gigabyte GeForce GTX 1050 TI OC Low Profile 4GB GDDR5 Graphics Card,"<span class=""price-new"">28,000৳</span>"
Asus Cerberus GeForce GTX 1050 Ti OC Edition 4GB GDDR5 Graphics Card,"<span class=""price-new"">28,500৳</span>"
Gigabyte NVIDIA GeForce GTX 1650 OC 4GB Graphics Card,"<span>29,500৳</span>"
Gigabyte GeForce GTX 1050 TI OC Low Profile 4GB GDDR5 Graphics Card (1 Year Warranty),"<span>30,000৳</span>"
Gigabyte GeForce GTX 1650 OC Low Profile 4GB GDDR5 Graphics Card,"<span>30,000৳</span>"
Gigabyte GeForce GTX 1650 D6 OC 4GB Graphics Card,"<span class=""price-new"">30,500৳</span>"
Zotac Gaming GeForce GTX 1650 OC 4GB GDDR6 Graphics Card,"<span>33,500৳</span>"
MSI GeForce GTX 1650 D6 Ventus XS OC 4GB GDDR6 Graphics Card,"<span>31,500৳</span>"
MSI GeForce GTX 1650 VENTUS XS 4G OC Graphics Card,"<span>33,000৳</span>"
ASUS Phoenix GeForce GTX 1650 OC Edition 4GB GDDR5 Graphics Card,"<span class=""price-new"">31,500৳</span>"
Asus Dual GeForce GTX 1650 OC Edition 4GB DDR5 Graphics Card,"<span class=""price-new"">33,500৳</span>"
Palit GeForce GTX 1660 SUPER GP 6GB GDDR6 Graphics Card,"<span>43,500৳</span>"
GALAX GeForce RTX 2060 (1 Click OC) 6GB GDDR6 Graphics Card,"<span>45,000৳</span>"
Palit GeForce RTX 3050 Dual 8GB GDDR6 Graphics Card,"<span>41,900৳</span>"
XFX Speedster SWFT 210 Radeon RX 6600 Core 8GB GDDR6 Gaming Graphics Card,"<span>45,500৳</span>"
Palit GeForce GTX 1660 Ti DUAL 6GB GDDR6 Graphics Card,"<span>44,900৳</span>"
Palit GeForce RTX 2060 SUPER DUAL 8GB GDDR6 Graphics Card,"<span>51,700৳</span>"
ZOTAC Gaming GeForce RTX 2060 6GB GDDR6 Graphics Card,"<span class=""price-new"">49,000৳</span>"
Colorful GeForce GTX 1660 SUPER NB 6GB V2-V GDDR6 Graphics Card,"<span class=""price-new"">47,500৳</span>"
Gigabyte GeForce GTX 1660 Super OC 6GB Graphics Card,"<span class=""price-new"">52,000৳</span>"
Gigabyte GeForce GTX 1660 OC 6GB GDDR5 Graphics Card,"<span>53,000৳</span>"
MSI GeForce GTX 1660 Super Ventus XS OC 6GB GDDR6 Graphics Card,"<span>53,500৳</span>"
Colorful GeForce RTX 2060 NB V2-V 6GB GDDR6 Graphics Card,"<span class=""price-new"">52,500৳</span>"
MSI GeForce GTX 1660 Super Ventus XS 6GB GDDR6 Graphics Card,"<span>54,500৳</span>"
Gigabyte GeForce GTX 1660 SUPER D6 6GB GDDR6 Graphics Card,"<span class=""price-new"">51,500৳</span>"
Gigabyte GeForce GTX 1660 Ti OC 6GB Graphics Card,"<span class=""price-new"">51,500৳</span>"
ZOTAC GAMING GeForce GTX 1660 SUPER 6GB GDDR6 Twin Fan Graphics Card,"<span class=""price-new"">45,999৳</span>"
ZOTAC GAMING GeForce GTX 1660 Ti 6GB GDDR6 Graphics Card,"<span>54,000৳</span>"
Sapphire Pulse AMD Radeon RX 6600 Gaming 8GB GDDR6 Graphics Card,"<span>43,000৳</span>"
Gigabyte GeForce RTX 3050 EAGLE 8GB GDDR6 Graphics Card,"<span>57,000৳</span>"
Asus GeForce GTX 1660 Super TUF 6GB OC Graphics Card,"<span>58,000৳</span>"
Gigabyte GeForce RTX 2060 D6 6GB GDDR6 Graphics Card,"<span class=""price-new"">56,500৳</span>"
ASUS TUF Gaming GeForce GTX 1660 Ti EVO OC Edition 6GB GDDR6 Graphics Card,"<span class=""price-new"">55,500৳</span>"
Gigabyte GeForce RTX 3050 Gaming OC 8GB GDDR6 Graphics Card,"<span>57,500৳</span>"
MSI GeForce GTX 1660 SUPER GAMING 6GB GDDR6 Graphics Card,"<span>57,500৳</span>"
Gigabyte GeForce RTX 2060 D6 12GB GDDR6 Graphics Card,"<span>59,000৳</span>"
ASRock Radeon RX 6600 XT Challenger D 8GB OC GDDR6 Graphics Card,"<span>60,000৳</span>"
ZOTAC GAMING GeForce RTX 2060 12GB GDDR6 Twin Fan Graphics Card,"<span class=""price-new"">50,000৳</span>"
MSI GeForce GTX 1660 Ti VENTUS XS 6G OC Graphics Card,"<span>59,500৳</span>"
Sapphire NITRO+ AMD Radeon RX 6600 XT Gaming OC 8GB GDDR6 Graphics Card,"<span>64,000৳</span>"
Sapphire Pulse AMD Radeon RX 6600 XT Gaming OC 8GB GDDR6 Graphics Card,"<span>53,000৳</span>"
Sapphire NITRO+ AMD Radeon RX 6600 XT 8GB GDDR6 Graphics Card,"<span>55,000৳</span>"
MSI Radeon RX 6600 XT MECH 2X 8G OCV1 GDDR6 Graphics Card,"<span>65,500৳</span>"
Palit GeForce RTX 3060 Dual 12GB GDDR6 Graphics Card,"<span>56,900৳</span>"
GIGABYTE Radeon RX 6600 EAGLE 8G 8GB GDDR6 Graphics Card,"<span>58,000৳</span>"
GIGABYTE Radeon RX 6600 XT GAMING OC PRO 8GB GDDR6 Graphics Card,"<span class=""price-new"">67,500৳</span>"
Colorful GeForce RTX 2060 SUPER NB 8G-V 8GB GDDR6 Graphics Card,"<span>69,900৳</span>"
GALAX GeForce RTX 2080 EX (1-Click OC) 8GB GDDR6 Graphics Card,"<span>69,999৳</span>"
Gigabyte GeForce RTX 3060 VISION OC 12GB GDDR6 Graphics Card,"<span>72,000৳</span>"
Colorful iGame GeForce RTX 3060 Ultra W OC 12G L-V 12GB GDDR6 Graphics Card,"<span class=""price-new"">65,500৳</span>"
Asus Dual GeForce RTX 3060 V2 12GB GDDR6 Graphics Card,"<span>74,500৳</span>"
PNY GeForce RTX 3060 12GB UPRISING Dual Fan Graphics Card,"<span>53,500৳</span>"
PNY GeForce RTX 3060 Ti 8GB UPRISING Dual Fan LHR Graphics Card,"<span>64,000৳</span>"
PNY GeForce RTX 3070 Ti 8GB XLR8 Gaming UPRISING EPIC-X RGB Triple Fan Graphics Card,"<span>85,000৳</span>"
Gigabyte GeForce RTX 3060 GAMING OC 12GB Graphics Card,"<span>75,000৳</span>"
MSI GeForce RTX 2060 VENTUS 12G OC GDDR6 Graphic Card,"<span>56,000৳</span>"
ASUS Dual GeForce RTX 3060 V2 OC Edition 12GB GDDR6 Graphics Card,"<span class=""price-new"">70,000৳</span>"
MSI GeForce RTX 3060 VENTUS 2X OC 12GB Graphics Card,"<span class=""price-new"">71,900৳</span>"
MSI GeForce RTX 3060 VENTUS 2X XS 12GB GDDR6 Graphics Card,"<span>79,000৳</span>"
ASUS Dual GeForce RTX 3060 Ti V2 OC Edition 8GB GDDR6 Graphics Card,"<span class=""price-new"">79,500৳</span>"
ASUS DUAL GeForce RTX 3060 Ti MINI V2 OC Edition 8GB GDDR6 LHR Graphics Card,"<span class=""price-new"">73,000৳</span>"
Gigabyte GeForce RTX 3060 Ti Gaming OC 8GB Graphics Card,"<span>85,000৳</span>"
MSI GeForce RTX 3060 VENTUS 2X 12GB GDDR6 Graphics Card,"<span>85,000৳</span>"
Gigabyte AORUS GeForce RTX 3060 ELITE 12GB GDDR6 Graphics Card,"<span class=""price-new"">81,000৳</span>"
Gigabyte GeForce RTX 3060 Ti GAMING OC PRO 8GB Graphics Card,"<span>86,500৳</span>"
MSI GeForce RTX 3060 Ti VENTUS 2X 8GB OCV1 LHR GDDR6 Graphics Card,"<span>77,000৳</span>"
MSI GeForce RTX 3060 Ti GAMING X 8GB LHR GDDR6 Graphics Card,"<span>88,500৳</span>"
Sapphire PULSE AMD Radeon RX 6700 XT GAMING OC 12GB GDDR6 Graphics Card,"<span>74,000৳</span>"
Gigabyte AORUS GeForce RTX 3060 Ti ELITE 8GB Graphics Card,"<span>92,000৳</span>"
Asus ROG Strix GeForce RTX 3060 V2 12GB GDDR6 Gaming Graphics Card,"<span>94,000৳</span>"
Sapphire NITRO+ AMD Radeon RX 6700 XT Gaming OC 12GB GDDR6 Graphics Card,"<span>80,000৳</span>"
Gigabyte GeForce RTX 3070 Gaming OC 8GB Graphics Card,"<span>107,000৳</span>"
Colorful iGame GeForce RTX 3070 TI Ultra W OC 8G-V GDDR6X 8GB Graphics Card,"<span class=""price-new"">104,000৳</span>"
Sapphire NITRO PLUS AMD Radeon RX 6800 Gaming OC 16GB Graphics Card,"<span>110,000৳</span>"
Palit GeForce RTX 3070 Ti GamingPro 8GB GDDR6X Graphics Card,"<span>110,000৳</span>"
Sapphire PULSE AMD Radeon RX 6800 Gaming 16GB GDDR6 Graphics Card,"<span>100,000৳</span>"
Colorful iGame GeForce RTX 3070 Ti Vulcan OC 8G-V GDDR6X Graphics Card,"<span class=""price-new"">108,000৳</span>"
Gigabyte GeForce RTX 3070 Ti VISION OC 8GB GDDR6X Graphics Card,"<span>115,000৳</span>"
MSI GeForce RTX 3070 Ti VENTUS 3X OC Edition 8GB GDDR6X Graphics Card,"<span>107,000৳</span>"
Sapphire Pulse AMD Radeon RX 6800 XT 16GB GDDR6 Graphics Card,"<span>105,000৳</span>"
Gigabyte AORUS GeForce RTX 3070 Ti MASTER 8GB GDDR6X Graphics Card,"<span>120,000৳</span>"
MSI GeForce RTX 3070 Ti SUPRIM X 8GB GDDR6X Graphics Card,"<span>114,000৳</span>"
MSI Geforce RTX 3070 TI Gaming X Trio 8GB GDDR6X Graphics Card,"<span>110,000৳</span>"
ASUS TUF Gaming GeForce RTX 3070 Ti OC 8GB GDDR6X Graphics Card,"<span class=""price-new"">121,500৳</span>"
ZOTAC Gaming GeForce RTX 3070 Ti AMP Holo 8GB GDDR6X Graphics Card,"<span>102,900৳</span>"
Asus ROG Strix GeForce RTX 3070 Ti OC Edition 8GB GDDR6X Graphics Card,"<span>137,000৳</span>"
MSI GeForce RTX 3080 GAMING Z TRIO 12G LHR GDDR6X Graphics Card,"<span>165,000৳</span>"
MSI GeForce RTX 3080 GAMING Z TRIO 10G LHR GDDR6X Graphics Card,"<span>135,000৳</span>"
ZOTAC GAMING GeForce RTX 3080 AMP Holo LHR 10GB Graphics Card,"<span>128,000৳</span>"
MSI GeForce RTX 3080 VENTUS 3X PLUS 10GB OC LHR GDDR6X Graphics Card,"<span>130,000৳</span>"
Colorful iGame GeForce RTX 3080 Vulcan OC 12G LHR-V GDDR6X Graphics Card,"<span class=""price-new"">146,000৳</span>"
SAPPHIRE NITRO+ AMD Radeon RX 6900 XT Special Edition 16GB GDDR6 Graphics Card,"<span>145,000৳</span>"
Palit GeForce RTX 3080 Ti GamingPro 12GB GDDR6X Graphics Card,"<span>152,900৳</span>"
MSI GeForce RTX 3080 SUPRIM 10GB LHR GDDR6X Graphics Card,"<span>170,000৳</span>"
MSI GeForce RTX 3080 SUPRIM X 10G LHR 10GB GDDR6X Graphics Card,"<span>140,000৳</span>"
Gigabyte GeForce RTX 3080 Ti GAMING OC 12GB GDDR6X Graphics Card,"<span>181,000৳</span>"
Asus ROG Strix GeForce RTX 3080 10GB GDDR6X Graphics Card,"<span class=""price-new"">181,000৳</span>"
MSI GeForce RTX 3080 SUPRIM X 12G LHR 12GB GDDR6X Graphics Card,"<span>165,000৳</span>"
Gigabyte AORUS Radeon RX 6900 XT MASTER 16GB GDDR6 Graphics Card,"<span>192,000৳</span>"
Asus ROG Strix GeForce RTX 3080 V2 OC Edition 10GB GDDR6X Gaming Graphics Card,"<span class=""price-new"">187,000৳</span>"
Zotac Gaming GeForce RTX 3080 Ti Trinity OC 12GB GDDR6X Graphics Card,"<span>166,900৳</span>"
MSI GeForce RTX 3080 Ti VENTUS 3X 12GB OC GDDR6X Graphics Card,"<span>178,000৳</span>"
MSI GeForce RTX 3080 Ti GAMING X TRIO 12GB GDDR6X Graphics Card,"<span class=""price-new"">212,000৳</span>"
Asus TUF Gaming GeForce RTX 3080 Ti OC 12GB GDDR6X Graphics Card,"<span>211,000৳</span>"
Sapphire TOXIC AMD Radeon RX 6900 XT Extreme Edition 16GB GDDR6 Graphics Card,"<span>207,000৳</span>"
MSI Radeon RX 6900 XT Gaming Z Trio 16GB GDDR6 Graphics Card,"<span>210,000৳</span>"
MSI GeForce RTX 3090 VENTUS 3X OC 24GB Graphics Card,"<span>239,000৳</span>"
Zotac Gaming GeForce RTX 3090 Trinity OC 24GB GDDR6X Graphics Card,"<span>219,900৳</span>"
ASUS ROG Strix NVIDIA GeForce RTX 3090 OC Edition 24GB Gaming Graphics Card,"<span>310,000৳</span>"
Asus ROG Strix GeForce RTX 3090 White OC Edition 24GB GDDR6X Graphics Card,"<span>315,000৳</span>"
ZOTAC GeForce GT 1030 Low Profile 2GB GDDR5 Graphics Card,<span>TBA</span>
Zotac Gaming GeForce RTX 2060 8GB GDDR6 Super Mini Graphics Card,<span>TBA</span>
Gigabyte Radeon RX 5700 XT Gaming OC 8GB Graphics Card,<span>TBA</span>
Zotac Gaming GeForce GTX 1650 Super 4GB GDDR6 Twin Fan Graphics Card,<span>TBA</span>
Gigabyte GeForce GTX 1660 Super Gaming OC 6GB Graphics Card,<span>TBA</span>
Gigabyte GeForce GTX 1650 Super Windforce OC 4GB Graphics Card,<span>TBA</span>
Gigabyte Radeon RX 5700 Gaming OC 8GB Graphics Card,<span>TBA</span>
Gigabyte Radeon RX 5600 XT Gaming OC 6GB Graphics Card,<span>TBA</span>
Gigabyte GeForce GTX 1650 Super OC 4GB Graphics Card,<span>TBA</span>
ASUS TUF Gaming X3 Radeon RX 5700 OC 8GB Graphics Card,<span>TBA</span>
Gigabyte GeForce GTX 1650 D6 WINDFORCE OC 4G Graphics Card,<span>TBA</span>
Zotac Gaming Geforce RTX3080 Trinity 10GB GDDR6X Graphics Card,<span>TBA</span>
Gigabyte GeForce GTX 1050 TI OC 4GB Graphics Card,<span>TBA</span>
ZOTAC GeForce RTX 3090 Trinity 24GB GDDR6X Gaming Graphics Card,<span>TBA</span>
ZOTAC Gaming GeForce RTX 3070 Twin Edge OC 8GB GDDR6 Graphics Card,<span>TBA</span>
Zotac Gaming GeForce GTX 1650 AMP 4GB GDDR6 Graphics Card,<span>TBA</span>
ZOTAC GAMING GeForce RTX 3070 Twin Edge 8GB GDDR6 Graphics Card,<span>TBA</span>
Zotac Gaming GeForce RTX3080 Trinity OC 10GB GDDR6X Graphics Card,<span>TBA</span>
ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge 8GB Graphics Card,<span>TBA</span>
GIGABYTE GeForce RTX 3060 Ti EAGLE OC 8GB Graphics Card,<span>TBA</span>
Gigabyte AORUS GeForce RTX 3080 MASTER 10GB GDDR6X Graphics Card,<span>TBA</span>
Gigabyte AORUS GeForce RTX 3080 XTREME WATERFORCE 10GB GDDR6X Graphics Card,<span>TBA</span>
GIGABYTE Radeon RX 6800 GAMING OC 16GB Graphics Card,<span>TBA</span>
GIGABYTE GeForce RTX 3070 Vision OC 8GB Graphics Card,<span>TBA</span>
ASUS KO NVIDIA GeForce RTX 3060 Ti OC Edition 8GB GDDR6 Graphics Card,<span>TBA</span>
Asus KO GeForce RTX 3070 Gaming Edition 8GB GDDR6 Graphics Card,<span>TBA</span>
Gigabyte GeForce GTX 1660 Super Gaming 6GB Graphics Card,<span>TBA</span>
MSI Radeon RX 6700 XT GAMING X 12GB GDDR6 Graphics Card,<span>TBA</span>
ASUS TUF Gaming GeForce RTX 3060 OC Edition 12GB GDDR6 Graphics Card,<span>TBA</span>
Asus ROG Strix GeForce RTX 3060 OC Edition 12GB GDDR6 Gaming Graphics Card,<span>TBA</span>
ASUS ROG Strix Radeon RX 6700 XT OC Edition 12GB GDDR6 Gaming Graphics Card,<span>TBA</span>
MSI Radeon RX 6900 XT GAMING X TRIO 16GB Graphics Card,<span>TBA</span>
Asus ROG Strix GeForce RTX 3070 8GB GDDR6 Gaming Graphics Card,<span>TBA</span>
MSI Radeon RX 6900 XT 16GB GDDR6 Graphics Card,<span>TBA</span>
MSI Radeon RX 6900 XT Gaming X Trio 16GB GDDR6 Graphics Card,<span>TBA</span>
Gigabyte Aorus GeForce RTX 3080 Ti Xtreme 12GB GDDR6X Graphics Card,<span>TBA</span>
Zotac Gaming GeForce RTX 3070 AMP Holo LHR 8GB GDDR6 Graphics Card,<span>TBA</span>
Asus KO GeForce RTX 3060 TI V2 OC Edition 8GB GDDR6 Graphics Card,<span>TBA</span>
GIGABYTE Radeon RX 6800 XT GAMING OC 16GB GDDR6 Graphics Card,<span>TBA</span>
ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge LHR 8GB Graphics Card,<span>TBA</span>
ASRock Radeon RX 6600 Challenger D 8GB GDDR6 Graphics Card,<span>TBA</span>
Asus GeForce GT 710 2GB DDR5 Graphics Card,<span>TBA</span>
MSI GeForce GT 730 2GB DDR3 Graphics Card,<span>TBA</span>
Sapphire Pulse Radeon RX 550 4GB GDDR5 Graphics Card,<span>TBA</span>
Sapphire Pulse Radeon RX 570 4GB GDDR5 HDMI DP Graphics card,<span>TBA</span>
MSI Radeon RX 570 ARMOR 4G OC GDDR5 Graphics Card,<span>TBA</span>
Sapphire Pulse Radeon RX 570 8GB GDDR5 Graphics Card,<span>TBA</span>
MSI Radeon RX 570 ARMOR 8G OC GDDR5 Graphics Card,<span>TBA</span>
